Date,Open,High,Low,Close,Adj Close,Volume
1996-10-01,8.75,8.75,8.75,8.75,7.40167760848999,800
1996-10-02,8.75,8.75,8.75,8.75,7.40167760848999,0
1996-10-03,8.75,8.75,8.75,8.75,7.40167760848999,0
1996-10-04,7.75,8.75,7.75,8.75,7.40167760848999,560
1996-10-07,9.0,9.75,9.0,9.75,8.247584342956543,1200
1996-10-08,9.75,10.0,9.75,10.0,8.459060668945312,920
1996-10-09,10.0,10.0,9.5,10.0,8.459060668945312,1628
1996-10-10,10.0,10.5,9.75,10.5,8.882012367248535,1540
1996-10-11,10.75,13.75,10.75,12.0,10.150873184204102,3160
1996-10-15,12.0,14.25,12.0,13.75,11.631206512451172,680
1996-10-16,13.0,13.0,12.0,12.5,10.573824882507324,1500
1996-10-17,12.5,12.5,12.0,12.0,10.150873184204102,620
1996-10-18,11.25,12.5,11.25,12.0,10.150873184204102,1020
1996-10-21,11.25,11.25,11.0,11.0,9.30496597290039,480
1996-10-22,11.0,11.25,11.0,11.25,9.516441345214844,520
1996-10-23,11.25,11.25,11.25,11.25,9.516441345214844,0
1996-10-24,11.0,11.25,10.75,11.0,9.30496597290039,852
1996-10-25,10.5,11.5,10.5,11.25,9.516441345214844,424
1996-10-28,10.75,10.75,10.75,10.75,9.093489646911621,448
1996-10-29,10.75,10.75,10.75,10.75,9.093489646911621,0
1996-10-30,11.25,11.25,11.25,11.25,9.516441345214844,1080
1996-10-31,11.25,11.25,11.25,11.25,9.516441345214844,0
1996-11-01,12.5,12.5,12.5,12.5,10.573824882507324,200
1996-11-04,12.75,12.75,12.5,12.5,10.573824882507324,800
1996-11-05,12.5,12.5,11.75,11.75,9.939395904541016,320
1996-11-06,11.75,11.75,11.75,11.75,9.939395904541016,0
1996-11-07,12.0,15.0,12.0,15.0,12.688590049743652,880
1996-11-08,15.0,15.0,13.0,14.75,12.477112770080566,656
1996-11-11,13.75,13.75,13.75,13.75,11.631206512451172,200
1996-11-12,13.75,13.75,13.75,13.75,11.631206512451172,600
1996-11-13,13.75,15.0,13.25,13.25,11.208255767822266,832
1996-11-14,13.25,13.25,13.25,13.25,11.208255767822266,0
1996-11-15,14.25,14.75,13.75,14.0,11.842684745788574,420
1996-11-18,15.0,15.0,13.75,13.75,11.631206512451172,1760
1996-11-19,14.75,15.0,14.75,15.0,12.688590049743652,800
1996-11-20,14.5,16.25,14.5,16.25,13.745973587036133,5140
1996-11-21,17.25,17.5,16.25,17.5,14.80335521697998,1120
1996-11-22,17.75,21.75,17.75,20.0,16.918121337890625,2280
1996-11-25,21.0,21.5,19.25,19.25,16.283689498901367,320
1996-11-26,18.75,19.25,16.5,17.5,14.80335521697998,1240
1996-11-27,17.5,18.5,16.75,18.5,15.649260520935059,380
1996-11-28,18.5,18.5,18.5,18.5,15.649260520935059,8
1996-11-29,16.5,17.75,16.25,17.75,15.014832496643066,800
1996-12-02,16.25,16.25,16.25,16.25,13.745973587036133,40
1996-12-03,16.25,16.25,16.25,16.25,13.745973587036133,0
1996-12-04,16.25,16.25,16.25,16.25,13.745973587036133,140
1996-12-05,15.5,18.0,15.5,18.0,15.226308822631836,340
1996-12-06,17.5,17.5,16.25,16.25,13.745973587036133,680
1996-12-09,15.5,15.5,15.5,15.5,13.111542701721191,192
1996-12-10,16.25,16.25,16.25,16.25,13.745973587036133,360
1996-12-11,14.5,16.25,14.5,16.25,13.745973587036133,208
1996-12-12,17.5,17.5,17.5,17.5,14.80335521697998,280
1996-12-13,17.5,18.0,16.5,17.5,14.80335521697998,1040
1996-12-16,18.5,18.5,18.5,18.5,15.649260520935059,100
1996-12-17,16.5,16.5,16.5,16.5,13.957449913024902,28
1996-12-18,16.5,16.5,16.5,16.5,13.957449913024902,0
1996-12-19,16.5,17.5,15.0,17.5,14.80335521697998,920
1996-12-20,16.25,17.0,15.0,17.0,14.380402565002441,440
1996-12-23,16.25,17.5,15.5,16.0,13.53449535369873,520
1996-12-24,16.0,16.25,16.0,16.25,13.745973587036133,300
1996-12-27,15.5,15.5,15.5,15.5,13.111542701721191,40
1996-12-30,16.25,16.25,16.25,16.25,13.745973587036133,144
1996-12-31,16.25,18.5,15.5,18.5,15.649260520935059,980
1997-01-02,18.5,18.5,18.0,18.5,15.649260520935059,484
1997-01-03,20.0,20.0,18.5,18.5,15.649260520935059,80
